date,state,product,production
2020-01-01,Kedah,veneer,18193
2021-01-01,Kedah,veneer,12978
2000-01-01,Kelantan,logs,1339501
2001-01-01,Kelantan,logs,944700
2002-01-01,Kelantan,logs,873026
2003-01-01,Kelantan,logs,919466
2004-01-01,Kelantan,logs,694256
2005-01-01,Kelantan,logs,815585
2006-01-01,Kelantan,logs,1066479
2007-01-01,Kelantan,logs,1442811
2008-01-01,Kelantan,logs,1408715
2009-01-01,Kelantan,logs,1265291
2010-01-01,Kelantan,logs,1269968
2011-01-01,Kelantan,logs,1128921
2012-01-01,Kelantan,logs,1111040
2013-01-01,Kelantan,logs,1050474
2014-01-01,Kelantan,logs,954302
2015-01-01,Kelantan,logs,887666
2016-01-01,Kelantan,logs,830567
2017-01-01,Kelantan,logs,670409
2018-01-01,Kelantan,logs,916081
2019-01-01,Kelantan,logs,1181211
2020-01-01,Kelantan,logs,584701
2021-01-01,Kelantan,logs,641337
2000-01-01,Kelantan,moulding,3327
2001-01-01,Kelantan,moulding,6887
2002-01-01,Kelantan,moulding,9505
2003-01-01,Kelantan,moulding,3010
2004-01-01,Kelantan,moulding,2725
2005-01-01,Kelantan,moulding,3915
2006-01-01,Kelantan,moulding,2350
2007-01-01,Kelantan,moulding,3082
2008-01-01,Kelantan,moulding,874
2009-01-01,Kelantan,moulding,3616
2010-01-01,Kelantan,moulding,6236
2011-01-01,Kelantan,moulding,6545
2012-01-01,Kelantan,moulding,8483
2013-01-01,Kelantan,moulding,785
2014-01-01,Kelantan,moulding,1817
2015-01-01,Kelantan,moulding,1628
2000-01-01,Kelantan,plywood,24970
2001-01-01,Kelantan,plywood,10092
2002-01-01,Kelantan,plywood,19479
2003-01-01,Kelantan,plywood,7107
2004-01-01,Kelantan,plywood,7713
2005-01-01,Kelantan,plywood,4433
2006-01-01,Kelantan,plywood,5434
2007-01-01,Kelantan,plywood,7499
2008-01-01,Kelantan,plywood,14970
2009-01-01,Kelantan,plywood,23364
2010-01-01,Kelantan,plywood,96
2011-01-01,Kelantan,plywood,19581
2012-01-01,Kelantan,plywood,24040
2013-01-01,Kelantan,plywood,29513
2014-01-01,Kelantan,plywood,43715
2015-01-01,Kelantan,plywood,39828
2016-01-01,Kelantan,plywood,25488
2017-01-01,Kelantan,plywood,18277
2018-01-01,Kelantan,plywood,14703
2019-01-01,Kelantan,plywood,13437
2020-01-01,Kelantan,plywood,20783
2021-01-01,Kelantan,plywood,8474
2000-01-01,Kelantan,sawn_timber,543246
2001-01-01,Kelantan,sawn_timber,509873
2002-01-01,Kelantan,sawn_timber,492695
2003-01-01,Kelantan,sawn_timber,508489
2004-01-01,Kelantan,sawn_timber,493804
2005-01-01,Kelantan,sawn_timber,570399
2006-01-01,Kelantan,sawn_timber,521882
2007-01-01,Kelantan,sawn_timber,512509
2008-01-01,Kelantan,sawn_timber,489189
2009-01-01,Kelantan,sawn_timber,438156
2010-01-01,Kelantan,sawn_timber,575005
2011-01-01,Kelantan,sawn_timber,543392
2012-01-01,Kelantan,sawn_timber,542982
2013-01-01,Kelantan,sawn_timber,424496
2014-01-01,Kelantan,sawn_timber,454918
2015-01-01,Kelantan,sawn_timber,430458
2016-01-01,Kelantan,sawn_timber,437051
2017-01-01,Kelantan,sawn_timber,446096
2018-01-01,Kelantan,sawn_timber,515178
2019-01-01,Kelantan,sawn_timber,470002
2020-01-01,Kelantan,sawn_timber,287457
2021-01-01,Kelantan,sawn_timber,254655
2000-01-01,Kelantan,veneer,3088
2001-01-01,Kelantan,veneer,1197
2002-01-01,Kelantan,veneer,1175
2003-01-01,Kelantan,veneer,450
2004-01-01,Kelantan,veneer,1712
2005-01-01,Kelantan,veneer,7614
2006-01-01,Kelantan,veneer,8588
2007-01-01,Kelantan,veneer,7438
2008-01-01,Kelantan,veneer,5313
2009-01-01,Kelantan,veneer,1438
2010-01-01,Kelantan,veneer,26220
2011-01-01,Kelantan,veneer,50308
2012-01-01,Kelantan,veneer,48036
2013-01-01,Kelantan,veneer,61040
2014-01-01,Kelantan,veneer,64620
2015-01-01,Kelantan,veneer,31399
2016-01-01,Kelantan,veneer,34559
2017-01-01,Kelantan,veneer,65106
2018-01-01,Kelantan,veneer,64806
2019-01-01,Kelantan,veneer,36402
2020-01-01,Kelantan,veneer,38543
2021-01-01,Kelantan,veneer,36777
2000-01-01,Melaka,logs,4310
2001-01-01,Melaka,logs,1610
2002-01-01,Melaka,logs,2830
2004-01-01,Melaka,logs,4407
2005-01-01,Melaka,logs,111
2006-01-01,Melaka,logs,1508
2007-01-01,Melaka,logs,1573
2008-01-01,Melaka,logs,692
2009-01-01,Melaka,logs,679
2010-01-01,Melaka,logs,778
2011-01-01,Melaka,logs,1163
2013-01-01,Melaka,logs,16
2014-01-01,Melaka,logs,4895
2016-01-01,Melaka,logs,2508
2017-01-01,Melaka,logs,99
2018-01-01,Melaka,logs,85
2019-01-01,Melaka,logs,28
2003-01-01,Melaka,plywood,752
2004-01-01,Melaka,plywood,146
2005-01-01,Melaka,plywood,316
2006-01-01,Melaka,plywood,615
2007-01-01,Melaka,plywood,719
2008-01-01,Melaka,plywood,75
2000-01-01,Melaka,sawn_timber,44911
2001-01-01,Melaka,sawn_timber,30734
2002-01-01,Melaka,sawn_timber,26532
2003-01-01,Melaka,sawn_timber,31128
2004-01-01,Melaka,sawn_timber,41630
2005-01-01,Melaka,sawn_timber,35437
2006-01-01,Melaka,sawn_timber,23410
2007-01-01,Melaka,sawn_timber,19645
2008-01-01,Melaka,sawn_timber,22501
2009-01-01,Melaka,sawn_timber,33815
2010-01-01,Melaka,sawn_timber,34991
2011-01-01,Melaka,sawn_timber,39553
2012-01-01,Melaka,sawn_timber,31987
2013-01-01,Melaka,sawn_timber,28151
2014-01-01,Melaka,sawn_timber,47732
2015-01-01,Melaka,sawn_timber,39322
2016-01-01,Melaka,sawn_timber,32409
2017-01-01,Melaka,sawn_timber,36857
2018-01-01,Melaka,sawn_timber,69168
2019-01-01,Melaka,sawn_timber,48809
2020-01-01,Melaka,sawn_timber,32170
2021-01-01,Melaka,sawn_timber,28767
2010-01-01,Melaka,veneer,1237
2000-01-01,Negeri Sembilan,logs,119443
2001-01-01,Negeri Sembilan,logs,68241
2002-01-01,Negeri Sembilan,logs,103823
2003-01-01,Negeri Sembilan,logs,102661
2004-01-01,Negeri Sembilan,logs,102646
2005-01-01,Negeri Sembilan,logs,80956
2006-01-01,Negeri Sembilan,logs,73860
2007-01-01,Negeri Sembilan,logs,92607
2008-01-01,Negeri Sembilan,logs,65844
2009-01-01,Negeri Sembilan,logs,87843
2010-01-01,Negeri Sembilan,logs,67377
2011-01-01,Negeri Sembilan,logs,112162
2012-01-01,Negeri Sembilan,logs,112661
2013-01-01,Negeri Sembilan,logs,85187
2014-01-01,Negeri Sembilan,logs,51787
2015-01-01,Negeri Sembilan,logs,73702
2016-01-01,Negeri Sembilan,logs,43790
2017-01-01,Negeri Sembilan,logs,53808
2018-01-01,Negeri Sembilan,logs,40989
2019-01-01,Negeri Sembilan,logs,42575
2020-01-01,Negeri Sembilan,logs,30702
2021-01-01,Negeri Sembilan,logs,44430
2000-01-01,Negeri Sembilan,moulding,3424
2001-01-01,Negeri Sembilan,moulding,2432
2002-01-01,Negeri Sembilan,moulding,3364
2003-01-01,Negeri Sembilan,moulding,8115
2004-01-01,Negeri Sembilan,moulding,9275
2005-01-01,Negeri Sembilan,moulding,12622
2006-01-01,Negeri Sembilan,moulding,11625
2007-01-01,Negeri Sembilan,moulding,4964
