State Name,YEAR,crop_type,Total_Production
Sabah,2018,coconut,50477.5
Sabah,2018,fruits,108138.7
Sabah,2018,industrial_crops,55713.9
Sabah,2018,paddy,122390.0
Sabah,2018,vegetables,42767.0
Sabah,2019,coconut,55337.1
Sabah,2019,fruits,127771.1
Sabah,2019,industrial_crops,60823.8
Sabah,2019,paddy,112569.0
Sabah,2019,vegetables,46227.3
Sabah,2020,coconut,57392.1
Sabah,2020,fruits,123396.6
Sabah,2020,industrial_crops,61436.4
Sabah,2020,paddy,117846.0
Sabah,2020,vegetables,43271.7
Sabah,2021,coconut,59214.8
Sabah,2021,fruits,123132.2
Sabah,2021,industrial_crops,62926.4
Sabah,2021,paddy,112284.0
Sabah,2021,vegetables,41448.8
Sabah,2022,coconut,61517.9
Sabah,2022,fruits,106700.0
Sabah,2022,industrial_crops,64810.3
Sabah,2022,paddy,107565.0
Sabah,2022,vegetables,46681.9
Sarawak,2017,coconut,30627.8
Sarawak,2017,fruits,150688.5
Sarawak,2017,industrial_crops,239297.5
Sarawak,2017,paddy,246305.0
Sarawak,2017,vegetables,51872.4
Sarawak,2018,coconut,30113.5
Sarawak,2018,fruits,141047.3
Sarawak,2018,industrial_crops,104710.7
Sarawak,2018,paddy,265358.0
Sarawak,2018,vegetables,43691.0
Sarawak,2019,coconut,54023.3
Sarawak,2019,fruits,160713.7
Sarawak,2019,industrial_crops,249948.7
Sarawak,2019,paddy,215491.0
Sarawak,2019,vegetables,61348.8
Sarawak,2020,coconut,51490.3
Sarawak,2020,fruits,174313.9
Sarawak,2020,industrial_crops,182901.1
Sarawak,2020,paddy,167588.9
Sarawak,2020,vegetables,62163.5
Sarawak,2021,coconut,24139.1
Sarawak,2021,fruits,145573.0
Sarawak,2021,industrial_crops,155557.2
Sarawak,2021,paddy,148903.0
Sarawak,2021,vegetables,56647.8
Sarawak,2022,coconut,24522.3
Sarawak,2022,fruits,147922.3
Sarawak,2022,industrial_crops,127987.5
Sarawak,2022,paddy,147272.0
Sarawak,2022,vegetables,53191.2
Selangor,2017,coconut,103435.4
Selangor,2017,fruits,19392.2
Selangor,2017,industrial_crops,105262.3
Selangor,2017,paddy,165571.0
Selangor,2017,vegetables,36690.1
Selangor,2018,coconut,95641.5
Selangor,2018,fruits,33180.1
Selangor,2018,industrial_crops,96713.3
Selangor,2018,paddy,174432.0
Selangor,2018,vegetables,32258.5
Selangor,2019,coconut,99760.7
Selangor,2019,fruits,29414.3
Selangor,2019,industrial_crops,103500.1
Selangor,2019,paddy,174088.0
Selangor,2019,vegetables,38795.7
Selangor,2020,coconut,105129.1
Selangor,2020,fruits,33288.1
Selangor,2020,industrial_crops,108042.6
Selangor,2020,paddy,159535.0
Selangor,2020,vegetables,31659.7
Selangor,2021,coconut,107558.9
Selangor,2021,fruits,35605.4
Selangor,2021,industrial_crops,111953.0
Selangor,2021,paddy,155631.0
Selangor,2021,vegetables,34051.3
Selangor,2022,coconut,110783.8
Selangor,2022,fruits,41376.1
Selangor,2022,industrial_crops,114565.9
Selangor,2022,paddy,153492.0
Selangor,2022,vegetables,32896.7
Terengganu,2017,coconut,17079.8
Terengganu,2017,fruits,48781.4
Terengganu,2017,industrial_crops,17240.2
Terengganu,2017,paddy,67715.0
Terengganu,2017,vegetables,18018.0
Terengganu,2018,coconut,20607.0
Terengganu,2018,fruits,50831.2
Terengganu,2018,industrial_crops,20803.0
Terengganu,2018,paddy,74335.0
Terengganu,2018,vegetables,16870.0
Terengganu,2019,coconut,16144.2
